Freq.	Im(V(n001)/(2*Pi*frequency))
1.00000000000000e+003	5.23473663696010e-009,0.00000000000000e+000
1.25892541179417e+003	5.23474653739659e-009,0.00000000000000e+000
1.58489319246111e+003	5.23476204753179e-009,0.00000000000000e+000
1.99526231496888e+003	5.23478629550874e-009,0.00000000000000e+000
2.51188643150958e+003	5.23482370028713e-009,0.00000000000000e+000
3.16227766016838e+003	5.23488078796285e-009,0.00000000000000e+000
3.98107170553497e+003	5.23496589507482e-009,0.00000000000000e+000
5.01187233627272e+003	5.23508898353216e-009,0.00000000000000e+000
6.30957344480193e+003	5.23525904675971e-009,0.00000000000000e+000
7.94328234724282e+003	5.23547978449029e-009,0.00000000000000e+000
1.00000000000000e+004	5.23574438367406e-009,0.00000000000000e+000
1.25892541179417e+004	5.23603279895438e-009,0.00000000000000e+000
1.58489319246111e+004	5.23631630837275e-009,0.00000000000000e+000
1.99526231496888e+004	5.23656810623245e-009,0.00000000000000e+000
2.51188643150958e+004	5.23677233468556e-009,0.00000000000000e+000
3.16227766016838e+004	5.23692616859640e-009,0.00000000000000e+000
3.98107170553497e+004	5.23703567772544e-009,0.00000000000000e+000
5.01187233627273e+004	5.23711055408227e-009,0.00000000000000e+000
6.30957344480194e+004	5.23716033527958e-009,0.00000000000000e+000
7.94328234724282e+004	5.23719282812740e-009,0.00000000000000e+000
1.00000000000000e+005	5.23721377228847e-009,0.00000000000000e+000
1.25892541179417e+005	5.23722717407396e-009,0.00000000000000e+000
1.58489319246111e+005	5.23723570550767e-009,0.00000000000000e+000
1.99526231496888e+005	5.23724111790160e-009,0.00000000000000e+000
2.51188643150958e+005	5.23724454490673e-009,0.00000000000000e+000
3.16227766016838e+005	5.23724671329649e-009,0.00000000000000e+000
3.98107170553498e+005	5.23724808465011e-009,0.00000000000000e+000
5.01187233627273e+005	5.23724895235100e-009,0.00000000000000e+000
6.30957344480194e+005	5.23724950291424e-009,0.00000000000000e+000
7.94328234724282e+005	5.23724985480089e-009,0.00000000000000e+000
1.00000000000000e+006	5.23725008412640e-009,0.00000000000000e+000
1.25892541179417e+006	5.23725024001379e-009,0.00000000000000e+000
1.58489319246112e+006	5.23725035619295e-009,0.00000000000000e+000
1.99526231496888e+006	5.23725045774783e-009,0.00000000000000e+000
2.51188643150958e+006	5.23725056657306e-009,0.00000000000000e+000
3.16227766016838e+006	5.23725070617313e-009,0.00000000000000e+000
3.98107170553498e+006	5.23725090666020e-009,0.00000000000000e+000
5.01187233627273e+006	5.23725121132957e-009,0.00000000000000e+000
6.30957344480194e+006	5.23725168593576e-009,0.00000000000000e+000
7.94328234724283e+006	5.23725243292127e-009,0.00000000000000e+000
1.00000000000000e+007	5.23725361352617e-009,0.00000000000000e+000
1.25892541179417e+007	5.23725548258477e-009,0.00000000000000e+000
1.58489319246112e+007	5.23725844353627e-009,0.00000000000000e+000
1.99526231496888e+007	5.23726313550903e-009,0.00000000000000e+000
2.51188643150958e+007	5.23727057128072e-009,0.00000000000000e+000
3.16227766016838e+007	5.23728235589900e-009,0.00000000000000e+000
3.98107170553498e+007	5.23730103316133e-009,0.00000000000000e+000
5.01187233627273e+007	5.23733063476919e-009,0.00000000000000e+000
6.30957344480194e+007	5.23737755075869e-009,0.00000000000000e+000
7.94328234724283e+007	5.23745190926048e-009,0.00000000000000e+000
1.00000000000000e+008	5.23756976383541e-009,0.00000000000000e+000
1.25892541179417e+008	5.23775656159163e-009,0.00000000000000e+000
1.58489319246112e+008	5.23805264336167e-009,0.00000000000000e+000
1.99526231496888e+008	5.23852196989934e-009,0.00000000000000e+000
2.51188643150959e+008	5.23926597460376e-009,0.00000000000000e+000
3.16227766016839e+008	5.24044557552465e-009,0.00000000000000e+000
3.98107170553498e+008	5.24231620525786e-009,0.00000000000000e+000
5.01187233627274e+008	5.24528369032558e-009,0.00000000000000e+000
6.30957344480195e+008	5.24999372410715e-009,0.00000000000000e+000
7.94328234724283e+008	5.25747597370482e-009,0.00000000000000e+000
1.00000000000000e+009	5.26937831930487e-009,0.00000000000000e+000
1.25892541179417e+009	5.28835303732450e-009,0.00000000000000e+000
1.58489319246112e+009	5.31870742382888e-009,0.00000000000000e+000
1.99526231496888e+009	5.36753611007448e-009,0.00000000000000e+000
2.51188643150959e+009	5.44678767109711e-009,0.00000000000000e+000
3.16227766016839e+009	5.57730083864672e-009,0.00000000000000e+000
3.98107170553498e+009	5.79746550508065e-009,0.00000000000000e+000
5.01187233627274e+009	6.18437689661045e-009,0.00000000000000e+000
6.30957344480195e+009	6.91585914472567e-009,0.00000000000000e+000
7.94328234724284e+009	8.51123900222565e-009,0.00000000000000e+000
1.00000000000000e+010	1.34141751990544e-008,0.00000000000000e+000
1.25892541179417e+010	1.38933865548676e-007,0.00000000000000e+000
1.58489319246112e+010	-9.84161799018622e-009,0.00000000000000e+000
1.99526231496889e+010	-3.66782537640323e-009,0.00000000000000e+000
2.51188643150959e+010	-1.83908121107391e-009,0.00000000000000e+000
3.16227766016839e+010	-1.02728580501075e-009,0.00000000000000e+000
3.98107170553499e+010	-6.04428699855636e-010,0.00000000000000e+000
5.01187233627274e+010	-3.65791927017131e-010,0.00000000000000e+000
6.30957344480196e+010	-2.25000524634831e-010,0.00000000000000e+000
7.94328234724284e+010	-1.39750379195654e-010,0.00000000000000e+000
1.00000000000000e+011	-8.73168038985197e-011,0.00000000000000e+000
