Freq.	Im(V(n001)/(2*Pi*frequency))
1.00000000000000e+003	5.17811776594383e-009,0.00000000000000e+000
1.25892541179417e+003	5.17812637665500e-009,0.00000000000000e+000
1.58489319246111e+003	5.17813976578090e-009,0.00000000000000e+000
1.99526231496888e+003	5.17816065635645e-009,0.00000000000000e+000
2.51188643150958e+003	5.17819306020430e-009,0.00000000000000e+000
3.16227766016838e+003	5.17824242111719e-009,0.00000000000000e+000
3.98107170553497e+003	5.17831609018358e-009,0.00000000000000e+000
5.01187233627272e+003	5.17842270595190e-009,0.00000000000000e+000
6.30957344480193e+003	5.17857022253702e-009,0.00000000000000e+000
7.94328234724282e+003	5.17876215687490e-009,0.00000000000000e+000
1.00000000000000e+004	5.17899271277948e-009,0.00000000000000e+000
1.25892541179417e+004	5.17924464093120e-009,0.00000000000000e+000
1.58489319246111e+004	5.17949305796832e-009,0.00000000000000e+000
1.99526231496888e+004	5.17971422925789e-009,0.00000000000000e+000
2.51188643150958e+004	5.17989407870818e-009,0.00000000000000e+000
3.16227766016838e+004	5.18002975226578e-009,0.00000000000000e+000
3.98107170553497e+004	5.18012646796510e-009,0.00000000000000e+000
5.01187233627273e+004	5.18019264744291e-009,0.00000000000000e+000
6.30957344480194e+004	5.18023667833070e-009,0.00000000000000e+000
7.94328234724282e+004	5.18026543187247e-009,0.00000000000000e+000
1.00000000000000e+005	5.18028397687734e-009,0.00000000000000e+000
1.25892541179417e+005	5.18029584050093e-009,0.00000000000000e+000
1.58489319246111e+005	5.18030339246693e-009,0.00000000000000e+000
1.99526231496888e+005	5.18030818578202e-009,0.00000000000000e+000
2.51188643150958e+005	5.18031122137415e-009,0.00000000000000e+000
3.16227766016838e+005	5.18031314066839e-009,0.00000000000000e+000
3.98107170553498e+005	5.18031435511179e-009,0.00000000000000e+000
5.01187233627273e+005	5.18031512366941e-009,0.00000000000000e+000
6.30957344480194e+005	5.18031561166367e-009,0.00000000000000e+000
7.94328234724282e+005	5.18031592399491e-009,0.00000000000000e+000
1.00000000000000e+006	5.18031612800084e-009,0.00000000000000e+000
1.25892541179417e+006	5.18031626773305e-009,0.00000000000000e+000
1.58489319246112e+006	5.18031637328084e-009,0.00000000000000e+000
1.99526231496888e+006	5.18031646740796e-009,0.00000000000000e+000
2.51188643150958e+006	5.18031657043343e-009,0.00000000000000e+000
3.16227766016838e+006	5.18031670461228e-009,0.00000000000000e+000
3.98107170553498e+006	5.18031689889235e-009,0.00000000000000e+000
5.01187233627273e+006	5.18031719521057e-009,0.00000000000000e+000
6.30957344480194e+006	5.18031765752825e-009,0.00000000000000e+000
7.94328234724283e+006	5.18031838563614e-009,0.00000000000000e+000
1.00000000000000e+007	5.18031953669846e-009,0.00000000000000e+000
1.25892541179417e+007	5.18032135917279e-009,0.00000000000000e+000
1.58489319246112e+007	5.18032424644310e-009,0.00000000000000e+000
1.99526231496888e+007	5.18032882173326e-009,0.00000000000000e+000
2.51188643150958e+007	5.18033607263455e-009,0.00000000000000e+000
3.16227766016838e+007	5.18034756428891e-009,0.00000000000000e+000
3.98107170553498e+007	5.18036577725438e-009,0.00000000000000e+000
5.01187233627273e+007	5.18039464300566e-009,0.00000000000000e+000
6.30957344480194e+007	5.18044039272407e-009,0.00000000000000e+000
7.94328234724283e+007	5.18051290275019e-009,0.00000000000000e+000
1.00000000000000e+008	5.18062782752528e-009,0.00000000000000e+000
1.25892541179417e+008	5.18080998144430e-009,0.00000000000000e+000
1.58489319246112e+008	5.18109870217533e-009,0.00000000000000e+000
1.99526231496888e+008	5.18155635960378e-009,0.00000000000000e+000
2.51188643150959e+008	5.18228186335909e-009,0.00000000000000e+000
3.16227766016839e+008	5.18343212551772e-009,0.00000000000000e+000
3.98107170553498e+008	5.18525621437070e-009,0.00000000000000e+000
5.01187233627274e+008	5.18814983126046e-009,0.00000000000000e+000
6.30957344480195e+008	5.19274252532215e-009,0.00000000000000e+000
7.94328234724283e+008	5.20003813184243e-009,0.00000000000000e+000
1.00000000000000e+009	5.21164296923885e-009,0.00000000000000e+000
1.25892541179417e+009	5.23014185901027e-009,0.00000000000000e+000
1.58489319246112e+009	5.25973111286469e-009,0.00000000000000e+000
1.99526231496888e+009	5.30731882827498e-009,0.00000000000000e+000
2.51188643150959e+009	5.38452955904237e-009,0.00000000000000e+000
3.16227766016839e+009	5.51160997018756e-009,0.00000000000000e+000
3.98107170553498e+009	5.72578142740319e-009,0.00000000000000e+000
5.01187233627274e+009	6.10154595631009e-009,0.00000000000000e+000
6.30957344480195e+009	6.80982215285237e-009,0.00000000000000e+000
7.94328234724284e+009	8.34499019031894e-009,0.00000000000000e+000
1.00000000000000e+010	1.29822235884092e-008,0.00000000000000e+000
1.25892541179417e+010	1.03832135004555e-007,0.00000000000000e+000
1.58489319246112e+010	-1.01484321178911e-008,0.00000000000000e+000
1.99526231496889e+010	-3.71743921747615e-009,0.00000000000000e+000
2.51188643150959e+010	-1.85455762135427e-009,0.00000000000000e+000
3.16227766016839e+010	-1.03361710715988e-009,0.00000000000000e+000
3.98107170553499e+010	-6.07447278603662e-010,0.00000000000000e+000
5.01187233627274e+010	-3.67377855181806e-010,0.00000000000000e+000
6.30957344480196e+010	-2.25888717933455e-010,0.00000000000000e+000
7.94328234724284e+010	-1.40269227497740e-010,0.00000000000000e+000
1.00000000000000e+011	-8.76283762185851e-011,0.00000000000000e+000
