Freq.	Im(V(n001)/(2*Pi*frequency))
1.00000000000000e+003	5.80412122356140e-009,0.00000000000000e+000
1.25892541179417e+003	5.80413617659779e-009,0.00000000000000e+000
1.58489319246111e+003	5.80415954217598e-009,0.00000000000000e+000
1.99526231496888e+003	5.80419606574080e-009,0.00000000000000e+000
2.51188643150958e+003	5.80425253976546e-009,0.00000000000000e+000
3.16227766016838e+003	5.80433864051418e-009,0.00000000000000e+000
3.98107170553497e+003	5.80446720867505e-009,0.00000000000000e+000
5.01187233627272e+003	5.80465359518927e-009,0.00000000000000e+000
6.30957344480193e+003	5.80491150282167e-009,0.00000000000000e+000
7.94328234724282e+003	5.80524757082988e-009,0.00000000000000e+000
1.00000000000000e+004	5.80565191439697e-009,0.00000000000000e+000
1.25892541179417e+004	5.80609463979716e-009,0.00000000000000e+000
1.58489319246111e+004	5.80653194312252e-009,0.00000000000000e+000
1.99526231496888e+004	5.80692210248718e-009,0.00000000000000e+000
2.51188643150958e+004	5.80723972890856e-009,0.00000000000000e+000
3.16227766016838e+004	5.80747967892900e-009,0.00000000000000e+000
3.98107170553497e+004	5.80765088712669e-009,0.00000000000000e+000
5.01187233627273e+004	5.80776812844293e-009,0.00000000000000e+000
6.30957344480194e+004	5.80784615612393e-009,0.00000000000000e+000
7.94328234724282e+004	5.80789711487055e-009,0.00000000000000e+000
1.00000000000000e+005	5.80792998701294e-009,0.00000000000000e+000
1.25892541179417e+005	5.80795102362602e-009,0.00000000000000e+000
1.58489319246111e+005	5.80796441629344e-009,0.00000000000000e+000
1.99526231496888e+005	5.80797291366165e-009,0.00000000000000e+000
2.51188643150958e+005	5.80797829520449e-009,0.00000000000000e+000
3.16227766016838e+005	5.80798169982837e-009,0.00000000000000e+000
3.98107170553498e+005	5.80798385211493e-009,0.00000000000000e+000
5.01187233627273e+005	5.80798521348416e-009,0.00000000000000e+000
6.30957344480194e+005	5.80798607664081e-009,0.00000000000000e+000
7.94328234724282e+005	5.80798662684160e-009,0.00000000000000e+000
1.00000000000000e+006	5.80798698307397e-009,0.00000000000000e+000
1.25892541179417e+006	5.80798722179252e-009,0.00000000000000e+000
1.58489319246112e+006	5.80798739465530e-009,0.00000000000000e+000
1.99526231496888e+006	5.80798753891951e-009,0.00000000000000e+000
2.51188643150958e+006	5.80798768571597e-009,0.00000000000000e+000
3.16227766016838e+006	5.80798786671056e-009,0.00000000000000e+000
3.98107170553498e+006	5.80798812098733e-009,0.00000000000000e+000
5.01187233627273e+006	5.80798850343113e-009,0.00000000000000e+000
6.30957344480194e+006	5.80798909658736e-009,0.00000000000000e+000
7.94328234724283e+006	5.80799002849569e-009,0.00000000000000e+000
1.00000000000000e+007	5.80799150030481e-009,0.00000000000000e+000
1.25892541179417e+007	5.80799382970876e-009,0.00000000000000e+000
1.58489319246112e+007	5.80799751951229e-009,0.00000000000000e+000
1.99526231496888e+007	5.80800336616958e-009,0.00000000000000e+000
2.51188643150958e+007	5.80801263170240e-009,0.00000000000000e+000
3.16227766016838e+007	5.80802731612611e-009,0.00000000000000e+000
3.98107170553498e+007	5.80805058919561e-009,0.00000000000000e+000
5.01187233627273e+007	5.80808747470144e-009,0.00000000000000e+000
6.30957344480194e+007	5.80814593511834e-009,0.00000000000000e+000
7.94328234724283e+007	5.80823859096345e-009,0.00000000000000e+000
1.00000000000000e+008	5.80838544658459e-009,0.00000000000000e+000
1.25892541179417e+008	5.80861821223592e-009,0.00000000000000e+000
1.58489319246112e+008	5.80898715912155e-009,0.00000000000000e+000
1.99526231496888e+008	5.80957199651471e-009,0.00000000000000e+000
2.51188643150959e+008	5.81049914252550e-009,0.00000000000000e+000
3.16227766016839e+008	5.81196917613910e-009,0.00000000000000e+000
3.98107170553498e+008	5.81430054639202e-009,0.00000000000000e+000
5.01187233627274e+008	5.81799935226055e-009,0.00000000000000e+000
6.30957344480195e+008	5.82387121234069e-009,0.00000000000000e+000
7.94328234724283e+008	5.83320179644035e-009,0.00000000000000e+000
1.00000000000000e+009	5.84805116258003e-009,0.00000000000000e+000
1.25892541179417e+009	5.87174128584797e-009,0.00000000000000e+000
1.58489319246112e+009	5.90968322702659e-009,0.00000000000000e+000
1.99526231496888e+009	5.97083177579089e-009,0.00000000000000e+000
2.51188643150959e+009	6.07038050283371e-009,0.00000000000000e+000
3.16227766016839e+009	6.23513728112302e-009,0.00000000000000e+000
3.98107170553498e+009	6.51539790636748e-009,0.00000000000000e+000
5.01187233627274e+009	7.01513387700131e-009,0.00000000000000e+000
6.30957344480195e+009	7.98586370662557e-009,0.00000000000000e+000
7.94328234724284e+009	1.02288822927712e-008,0.00000000000000e+000
1.00000000000000e+010	1.84273616683606e-008,0.00000000000000e+000
1.25892541179417e+010	-6.58823496938770e-008,0.00000000000000e+000
1.58489319246112e+010	-8.04928983663119e-009,0.00000000000000e+000
1.99526231496889e+010	-3.36092216988469e-009,0.00000000000000e+000
2.51188643150959e+010	-1.74753712825254e-009,0.00000000000000e+000
3.16227766016839e+010	-9.92449581799012e-010,0.00000000000000e+000
3.98107170553499e+010	-5.89055407453197e-010,0.00000000000000e+000
5.01187233627274e+010	-3.58262208870449e-010,0.00000000000000e+000
6.30957344480196e+010	-2.21017849627452e-010,0.00000000000000e+000
7.94328234724284e+010	-1.37521891670521e-010,0.00000000000000e+000
1.00000000000000e+011	-8.60189317460146e-011,0.00000000000000e+000
