Shape;Din;Davg;Ls;Rs;Cp;Cox;Csub;Rsub;Z;L;Qfactor;Fres;;;;W = 10e-6 # • Largura da fita de metal; w
Square;0.00026000000000000003;0.00030000000000000003;5.809341185964969e-09;5.8181460772249265;2.724365482153855e-14;1.1762020716309966e-13;2.7093814720020004e-15;108888888.88888887;(5.898751510298556+36.74663582044644j);5.848408732821757e-09;6.229561587107196;12650975226.569923;;;;Dout = 340e-6 # • Diâmetro externo; Dout
Hexagonal;0.00026000000000000003;0.00030000000000000003;5.237745419717331e-09;5.038662305805564;2.724365482153855e-14;1.018620874016327e-13;2.346393183296609e-15;125734058.62351847;(5.100783131792701+33.107159432466396j);5.269168075408495e-09;6.490603222495893;13323405754.476135;;;;S = 5e-6 # • Espaço entre fitas; s
Octagonal;0.00026000000000000003;0.00030000000000000003;5.181495575717103e-09;4.819910026108771;2.724365482153855e-14;9.743977003217788e-14;2.2445251026912174e-15;131440516.17364626;(4.878490225343191+32.74915038778765j);5.2121891662762655e-09;6.712968331402943;13395529380.609154;;;;n = 3 # • Número de voltas; n
;;;;;;;;;;;;;;;;f = 1e9;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Square;0.00013278445589136805;0.00016596873851062744;2.040562587876861e-09;3.4243416538862466;2.105418899096175e-14;5.521529208615565e-14;1.2718842532045957e-15;231956278.50499284;(3.4963147721652947+31.088585680920843j);2.061625868689362e-09;8.891815441910982;24281522431.40369;;Optimizado;;W = 10e-6 # • Largura da fita de metal; w
;;;;;;;;;;;;;;;;Dout = 340e-6 # • Diâmetro externo; Dout
;;;;;;;;;;;;;;;;S = 5e-6 # • Espaço entre fitas; s
;;;;;;;;;;;;;;;;n = 3 # • Número de voltas; n
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;L1 = 6.5e-9;;;
;;;;;;;;;;;;;;f=2.4e9;;;
;;;;;;;;;;;;;;x0 = (200e-6;5;60e-6);
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;boundd = (100e-6;400e-6) #D_out;;
;;;;;;;;;;;;;;boundn = (2;5) #N;;
;;;;;;;;;;;;;;boundw = (10e-6;100e-6) #W;;
;;;;;;;;;;;;;;boundx = (boundd; boundn; boundw);
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;dmin=20e-6;;;
;;;;;;;;;;;;;;fresmin = 2.4e10;;;
